old_label,old_min,old_max,new_label,new_min,new_max,factor_pct,factor_decimal
32년 이상,32,999,0년 이상~1년 미만,0,1,67.46,0.6746
31년 이상~32년 미만,31,32,0년 이상~1년 미만,0,1,67.46,0.6746
30년 이상~31년 미만,30,31,0년 이상~1년 미만,0,1,67.46,0.6746
29년 이상~30년 미만,29,30,0년 이상~1년 미만,0,1,67.46,0.6746
28년 이상~29년 미만,28,29,0년 이상~1년 미만,0,1,67.46,0.6746
27년 이상~28년 미만,27,28,0년 이상~1년 미만,0,1,67.46,0.6746
26년 이상~27년 미만,26,27,0년 이상~1년 미만,0,1,67.46,0.6746
25년 이상~26년 미만,25,26,0년 이상~1년 미만,0,1,67.46,0.6746
24년 이상~25년 미만,24,25,0년 이상~1년 미만,0,1,67.46,0.6746
23년 이상~24년 미만,23,24,0년 이상~1년 미만,0,1,67.46,0.6746
22년 이상~23년 미만,22,23,0년 이상~1년 미만,0,1,67.46,0.6746
21년 이상~22년 미만,21,22,0년 이상~1년 미만,0,1,67.46,0.6746
20년 이상~21년 미만,20,21,0년 이상~1년 미만,0,1,67.46,0.6746
19년 이상~20년 미만,19,20,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
18년 이상~19년 미만,18,19,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
17년 이상~18년 미만,17,18,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
16년 이상~17년 미만,16,17,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
15년 이상~16년 미만,15,16,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
14년 이상~15년 미만,14,15,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
13년 이상~14년 미만,13,14,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
12년 이상~13년 미만,12,13,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
11년 이상~12년 미만,11,12,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
10년 이상~11년 미만,10,11,0년 이상~1년 미만,0,1,84.33,0.8432999999999999
9년 이상~10년 미만,9,10,0년 이상~1년 미만,0,1,83.69,0.8369
8년 이상~9년 미만,8,9,0년 이상~1년 미만,0,1,83.04,0.8304
7년 이상~8년 미만,7,8,0년 이상~1년 미만,0,1,81.9,0.8190000000000001
6년 이상~7년 미만,6,7,0년 이상~1년 미만,0,1,81.75,0.8175
5년 이상~6년 미만,5,6,0년 이상~1년 미만,0,1,81.11,0.8111
4년 이상~5년 미만,4,5,0년 이상~1년 미만,0,1,80.47,0.8047
3년 이상~4년 미만,3,4,0년 이상~1년 미만,0,1,79.83,0.7983
2년 이상~3년 미만,2,3,0년 이상~1년 미만,0,1,79.18,0.7918000000000001
1년 이상~2년 미만,1,2,0년 이상~1년 미만,0,1,78.54,0.7854000000000001
1년 미만,0,1,0년 이상~1년 미만,0,1,77.9,0.779
신규자,0,0,0년 이상~1년 미만,0,1,77.25,0.7725
31년 이상~32년 미만,31,32,1년 이상~2년 미만,1,2,67.94,0.6794
30년 이상~31년 미만,30,31,1년 이상~2년 미만,1,2,67.94,0.6794
29년 이상~30년 미만,29,30,1년 이상~2년 미만,1,2,67.94,0.6794
28년 이상~29년 미만,28,29,1년 이상~2년 미만,1,2,67.94,0.6794
27년 이상~28년 미만,27,28,1년 이상~2년 미만,1,2,67.94,0.6794
26년 이상~27년 미만,26,27,1년 이상~2년 미만,1,2,67.94,0.6794
25년 이상~26년 미만,25,26,1년 이상~2년 미만,1,2,67.94,0.6794
24년 이상~25년 미만,24,25,1년 이상~2년 미만,1,2,67.94,0.6794
